BUYER_COUNTY,population
ABBEVILLE,24434
AIKEN,177130
ALLENDALE,7369
ANDERSON,213076
BAMBERG,12974
BARNWELL,20447
BEAUFORT,198979
BERKELEY,255217
CALHOUN,14186
CHARLESTON,424367
CHEROKEE,56714
CHESTER,32226
CHESTERFIELD,44031
CLARENDON,31004
COLLETON,38874
DARLINGTON,62416
DILLON,27698
DORCHESTER,169833
EDGEFIELD,27607
FAIRFIELD,20422
FLORENCE,137214
GEORGETOWN,65731
GREENVILLE,558036
GREENWOOD,69460
HAMPTON,18122
HORRY,397478
JASPER,33544
KERSHAW,69905
LANCASTER,108215
LAURENS,68873
LEE,15967
LEXINGTON,309528
MARION,28508
MARLBORO,25704
MCCORMICK,9941
NEWBERRY,38825
OCONEE,81221
ORANGEBURG,82820
PICKENS,135495
RICHLAND,425138
SALUDA,19123
SPARTANBURG,356698
SUMTER,104165
UNION,26629
WILLIAMSBURG,29891
YORK,298320
